NUMERO_REGISTRAZIONE,FORMULATO COMMERCIALE,PRODUTTORE,SOSTANZE_ATTIVE,SOSTANZA ATTIVA_PER_100G_DI_PRODOTTO
10468,ARGILETUM,NUFARM ITALIA S.R.L.,BITERTANOL,25.0 g
10469,ATHOS,NUFARM ITALIA S.R.L.,GIBBERELLINS (A4)|GIBBERELLINS (A4+A7),1.8 g|1.8 g
10470,PENNPHOS 240,UPL  ITALIA S.R.L.,CHLORPYRIFOS,22.3 g
10471,OLOVER,NATAN S.R.L.,PARAFFIN OIL/(CAS 64742-46-7),96.9 g
10472,DELPHINE,CHIMAC-AGRIPHAR S.A.,DELTAMETHRIN,25.0 g/l
10473,TRICHODEX,ADAMA MAKHTESHIM LTD,"TRICHODERMA ASPERELLUM (FORMERLY T. HARZIANUM) STRAINS ICC012, T25 AND TV1",20.0 g
10474,TERDIM,SIPCAM OXON S.P.A.,TERBUTHYLAZINE|DIMETHENAMID-P,26.9 g|23.8 g
10475,FLUANY DF,ERREGI S.R.L.,DICHLOFLUANID,50.0 g
10476,SENTINEL,ERREGI S.R.L.,PENDIMETHALIN,30.0 g
10477,LAS VEGAS,SHARDA CROPCHEM LIMITED,FLUAZIFOP-P-BUTYL,13.3 g
10478,ASPID,NUFARM ITALIA S.R.L.,TERBUTHYLAZINE|BROMOXYNIL,25.4 g|16.9 g
10479,NATURALIS,CBC (EUROPE) S.R.L.,BEAUVERIA BASSIANA STRAINS ATCC 74040 AND GHA,0.0 g
10480,STAM NOVEL FLO 480,UNITED PHOSPHORUS ITALY S.R.L.,PROPANIL,41.4 g
10481,METIOSEP,SEPRAN S.A.S.,METHIOCARB (AKA MERCAPTODIMETHUR),2.0 g
10482,CARTAGO,SEPRAN S.A.S.,TRIFLURALIN,45.0 g
10483,EMBLEM,NUFARM S.A.S.,BROMOXYNIL OCTANOATE,30.7 g
10484,TROLER 370 HE,DIACHEM S.P.A.,PENDIMETHALIN|TERBUTHYLAZINE,18.9 g|16.0 g
10485,ALFA,NUFARM ITALIA S.R.L.,GIBBERELLIC ACID|1-NAPHTHYLACETIC ACID (1-NAA),0.1 g|0.3 g
10486,ENDOMAS,DIACHEM S.P.A.,ENDOSULFAN,32.9 g
10487,KOTOR F,TECOMAG S.R.L.,PROPYZAMIDE,400.0 g/l
10488,CASTOP AGR,TECNITERRA S.R.L.,DICHLORPROP,5.0 g
10489,PIRETRUM 40,COPYR S.P.A.,PIPERONYL BUTOXIDE|PYRETHRINS,12.8 g|4.0 g
10490,RELBUG 22,COMERCIAL QUIMICA MASSO' S.A.,CHLORPYRIFOS-METHYL,22.0 g
10491,QUMRAN FLOW,DIACHEM S.P.A.,TRIBASIC COPPER SULFATE,15.2 g
10492,SONAR COMBI FLOW,DIACHEM S.P.A.,SULPHUR (ZOLFO)|PENCONAZOLE,33.3 g|1.3 g
10493,RUNNER LO,SIPCAM OXON S.P.A.,CHLORPYRIFOS-METHYL,21.4 g
10494,PREMIUM TOP,ADAMA AGAN LTD,GLYPHOSATE,30.8 g
10495,SHARE 50 WP,GREEN TRADE S.R.L.,PROCYMIDONE,50.0 g
10496,VEBIZINON G,DIACHEM S.P.A.,DIAZINON,5.0 g
10497,SOLEIL,SELEZIONE PAC S.R.L.,TRIADIMENOL|SULPHUR (ZOLFO),2.5 g|50.0 g
10498,TURM,AGROWIN BIOSCIENCES S.R.L.,DICHLOFLUANID,50.0 g
10499,FOGLIASTRETTA,AGRICO S.R.L.,PENDIMETHALIN,307.0 g/l
10500,SILMAIS,SUMITOMO CHEMICAL ITALIA S.R.L.,BROMOXYNIL OCTANOATE|DICAMBA,152.0 g/l|107.0 g/l
10501,ALLUM R,DU PONT DE NEMOURS ITALIANA S.R.L.,FOSETYL-ALUMINIUM|COPPER HYDROXIDE,25.0 g|25.0 g
10502,BRACKET,CAFFARO S.P.A.,BENTAZONE|CLOPYRALID,226.0 g/l|28.0 g/l
10503,TARGET,GREEN RAVENNA S.R.L.,SULPHUR (ZOLFO),80.0 g
10504,KELLY WG,HELM AG,FOSETYL-ALUMINIUM,80.0 g
10505,PROGREEN,ADAMA MAKHTESHIM LTD,PROCHLORAZ|PROPICONAZOLE,34.8 g|7.8 g
10506,MYCOSTOP,DANSTAR FERMENT AG,STREPTOMYCES K61 (FORMERLY S. GRISEOVIRIDIS),33.0 g
10507,CLORMETIL,DOW AGROSCIENCES ITALIA S.R.L.,CHLORPYRIFOS-METHYL,21.4 g
10508,PADDOC,AGROWIN BIOSCIENCES S.R.L.,BENSULFURON METHYL,60.0 g
10509,MASTIFF ULTRA,CHEMINOVA AGRO ITALIA S.R.L.,GLYPHOSATE,30.8 g
10510,PIR-NATURE,COPYR S.P.A.,PIPERONYL BUTOXIDE|PYRETHRINS,12.8 g|4.0 g
10511,POLTIGLIA BORDOLESE,NATAN S.R.L.,BORDEAUX MIXTURE,20.0 g
10512,BETATRON PLUS WDG,SOCOA TRADING S.R.L.,METAMITRON|LENACIL,60.0 g|5.0 g
10513,TIOCOMPLEX M,PASQUALE MORMINO & FIGLIO S.R.L.,MANCOZEB|COPPER OXYCHLORIDE|SULPHUR (ZOLFO),2.8 g|1.8 g|59.4 g
10514,DIZAN 5,FLOWERS SET LIMITED,DIAZINON,5.0 g
10515,FEN 5,KOLLANT S.R.L.,FENITROTHION,5.0 g
10516,ERBITAL L,SEPRAN S.A.S.,SODIO CLORATO,24.7 g
10517,CUPROFLO,CHEMIA S.P.A.,COPPER HYDROXIDE,15.2 g
10518,PIRESAN PLUS,COPYR S.P.A.,PIPERONYL BUTOXIDE|PYRETHRINS,12.8 g|4.0 g
10519,RAMITAL 20,I.T.A.C.O. CHIMICA S.R.L.,COPPER OXYCHLORIDE,20.0 g
10520,BORDITAL 25,I.T.A.C.O. CHIMICA S.R.L.,COPPER SULFATE,25.0 g
10521,CURABEN,I.T.A.C.O. CHIMICA S.R.L.,CYMOXANIL|COPPER OXYCHLORIDE,4.0 g|40.0 g
10522,AUXIRAM,I.T.A.C.O. CHIMICA S.R.L.,MANCOZEB|COPPER SULFATE,21.0 g|9.0 g
10523,MAXIRAM,I.T.A.C.O. CHIMICA S.R.L.,COPPER HYDROXIDE,25.0 g
10524,RAMITAL 20 NC,I.T.A.C.O. CHIMICA S.R.L.,COPPER OXYCHLORIDE,20.0 g
10525,RAMITAL 30 NC,I.T.A.C.O. CHIMICA S.R.L.,COPPER OXYCHLORIDE,30.0 g
10526,RAMITAL 30,I.T.A.C.O. CHIMICA S.R.L.,COPPER OXYCHLORIDE,30.0 g
10527,TEDI',CASTALDO S.P.A.,DICOFOL|TETRADIFON,165.0 g/l|62.0 g/l
10527,TEDI',CASTALDO S.P.A.,DICOFOL|TETRADIFON,165.0 g/l|62.0 g/l
10528,GRANOSAN,CHEMTURA ITALY S.R.L.,CARBOXIN|MANEB,20.0 g|40.0 g
10529,SPRAY DUNGER 312,NUFARM ITALIA S.R.L.,1-NAPHTHYLACETIC ACID (1-NAA),0.0 g
10530,SILVER,ADAMA AGAN LTD,TERBUTHYLAZINE,500.0 g/l
10531,PROLEX TZ,ADAMA AGAN LTD,PROPACHLOR|TERBUTHYLAZINE,33.0 g|11.7 g
10532,TELDOR,BAYER CROPSCIENCE S.R.L.,FENHEXAMID,50.0 g
10533,KARATHANE 18 WP,SUMITOMO CHEMICAL ITALIA S.R.L.,DINOCAP,18.3 g
10534,INDACO,ADAMA AGAN LTD,LINURON,440.0 g/l
10535,RALIN,ADAMA AGAN LTD,TRIFLURALIN,45.8 g
10536,TRACCIA,ADAMA MAKHTESHIM LTD,DIAZINON,180.0 g/l
10537,SPIDER,ADAMA MAKHTESHIM LTD,DELTAMETHRIN,15.0 g/l
10538,TENDENCY,ADAMA MAKHTESHIM LTD,PROPICONAZOLE,250.0 g/l
10539,TRAPPER,ADAMA MAKHTESHIM LTD,CHLORPYRIFOS,40.0 g
10540,TERIAL 75 WG,DOW AGROSCIENCES ITALIA S.R.L.,CHLORPYRIFOS,75.0 g
10541,FEINPROP SC,ADAMA DEUTSCHLAND GMBH,PROPYZAMIDE,36.0 g
10542,UK 24,PROCHIMAG DI MANDRIOLI GIUSEPPE,"2,4-D",35.5 g
10543,POLYKRON GLOBAL,NUFARM ITALIA S.R.L.,GIBBERELLIC ACID|1-NAPHTHYLACETIC ACID (1-NAA),0.1 g|0.4 g
10544,BARCLAY SEISMIC,BARCLAY CHEMICALS MANUFACTURING LTD,METAMITRON,70.0 g
10545,BIOPURIN L 36,BIOLCHIM S.P.A.,GIBBERELLINS (A4+A7)|6-BENZYLADENINE,1.8 g|1.8 g
10546,"PYCHLOREX 21,5 CS",ARYSTA LIFESCIENCE BENELUX SPRL,CHLORPYRIFOS,21.5 g
10547,ROSTER GR,PROCHIMAG DI MANDRIOLI GIUSEPPE,CARBOSULFAN,5.0 g
10548,SOLFOSAN PB,DOW AGROSCIENCES ITALIA S.R.L.,SULPHUR (ZOLFO),80.0 g
10549,ASTER,NUFARM ITALIA S.R.L.,METALAXYL,35.0 g
10550,ATTIKE,NUFARM ITALIA S.R.L.,DIFLUBENZURON,25.0 g
10551,THOLOS,NUFARM ITALIA S.R.L.,CHLORTHAL-DIMETHYL,75.0 g
10552,THIOCUR ZOLFO,DOW AGROSCIENCES ITALIA S.R.L.,MYCLOBUTANIL|SULPHUR (ZOLFO),0.8 g|50.0 g
10553,LENACILO FLO,ADAMA AGAN LTD,LENACIL,44.6 g
10554,SPIDERBUG,COMERCIAL QUIMICA MASSO' S.A.,AMITRAZ,190.0 g/l
10555,MASSOTRON 70,COMERCIAL QUIMICA MASSO' S.A.,METAMITRON,70.0 g
10556,MASSOZIN 35 DF,COMERCIAL QUIMICA MASSO' S.A.,METRIBUZIN,35.0 g
10557,PLANTACUR,COMERCIAL QUIMICA MASSO' S.A.,PROPAMOCARB,66.5 g
10558,OXACUR,PROCHIMAG DI MANDRIOLI GIUSEPPE,COPPER OXYCHLORIDE|OXADIXYL,16.0 g|4.0 g
10559,SULFALIL,CERRUS S.A.S. DI RONZONI G. & C.,SULPHUR (ZOLFO),30.0 g
10560,PIRETRO NATURA,CERRUS S.A.S. DI RONZONI G. & C.,PYRETHRINS,4.3 g
10561,FLORAPIR,CERRUS S.A.S. DI RONZONI G. & C.,PYRETHRINS,1.0 g
10562,SHARE 50 WG,GREEN TRADE S.R.L.,PROCYMIDONE,50.0 g
10563,ACOIDAL,QUIMETAL INTERNACIONAL REGISTROS E INVERSIONES S.L.,SULPHUR (ZOLFO),80.0 g
10564,SUPERBA,GOWAN ITALIA S.R.L.,DICAMBA,243.0 g/l
10565,DICOTIL EXTRA,ERREGI S.R.L.,CLOPYRALID|MECOPROP|DICAMBA,1.0 g|12.9 g|1.1 g
10566,BETACIT,AGRIPHAR ITALIA S.R.L.,CYCLOATE,705.0 g/l
10567,ACEMAR,SIMAR S.R.L.,ACEPHATE,43.0 g
10568,ZOOMER,ADAMA AGAN LTD,GLYPHOSATE|OXYFLUORFEN,30.0 g|2.5 g
10569,GOLTIX 700 SC,ADAMA ITALIA S.R.L.,METAMITRON,57.9 g
10570,DIPYLON,NUFARM ITALIA S.R.L.,PROPYZAMIDE,75.0 g
10571,DIFUSE 48 SC,CHIMAC-AGRIPHAR S.A.,DIFLUBENZURON,480.0 g/l
10572,COMET,AGRIM S.R.L.,TOLCLOFOS-METHYL,50.0 g
10573,KOCIDE 2000,SPIESS URANIA CHEMICALS GMBH,COPPER HYDROXIDE,35.0 g
10574,TRIPLO NEW,AGRIM S.R.L.,ETHOFUMESATE|PHENMEDIPHAM|DESMEDIPHAM,128.0 g/l|62.0 g/l|16.0 g/l
10575,LOGRADO 360,COMERCIAL QUIMICA MASSO' S.A.,GLYPHOSATE,30.4 g
10576,SPORAMIL MZ,COMERCIAL QUIMICA MASSO' S.A.,MANCOZEB|METALAXYL,64.0 g|8.0 g
10577,METRIPHAR 70 WG,ARYSTA LIFESCIENCE BENELUX SPRL,METRIBUZIN,70.0 g
10578,SANILATE 13,COMERCIAL QUIMICA MASSO' S.A.,FLUAZIFOP-P-BUTYL,13.3 g
10579,CARSON COP,ADAMA ITALIA S.R.L.,CYMOXANIL|COPPER OXYCHLORIDE,4.2 g|40.0 g
10580,GI BIO PLUS,NUFARM ITALIA S.R.L.,GIBBERELLIC ACID,20.0 g
10581,CITRIN EC,ARYSTA LIFESCIENCE BENELUX SPRL,CYPERMETHRIN,5.5 g
10582,PAM,ARYSTA LIFESCIENCE BENELUX SPRL,PROPAMOCARB HYDROCHLORIDE,66.7 g
10583,ASULOX,CONSORZIO AGRARIO PROVINCIALE DI PARMA,ASULAM,34.0 g
10584,SHAMAL MK PLUS,ADAMA AGAN LTD,GLYPHOSATE,30.8 g
10585,SULCOTREK,ADAMA AGAN LTD,TERBUTHYLAZINE|SULCOTRIONE,28.4 g|15.0 g
10586,TRACCIA GR,ADAMA ITALIA S.R.L.,DIAZINON,5.0 g
10587,FOLPAN SC,ADAMA MAKHTESHIM LTD,FOLPET,39.7 g
10588,BIOPIREN PLUS,COPYR S.P.A.,PYRETHRINS,2.0 g
10589,FLORA VERDE,COPYR S.P.A.,PYRETHRINS,2.0 g
10590,MANFLO,UPL  ITALIA S.R.L.,MANCOZEB,33.6 g
10591,VEBIPHOS-L,UPL  ITALIA S.R.L.,CHLORPYRIFOS,22.3 g
10592,FITOTAB,NUFARM ITALIA S.R.L.,GIBBERELLIC ACID,9.0 g
10593,BETIS 70,BIONATURA S.R.L.,METAMITRON,70.0 g
10594,SPRINTEX L,BIOLCHIM S.P.A.,GIBBERELLIC ACID|1-NAPHTHYLACETIC ACID (1-NAA),0.1 g|0.3 g
10595,CUPRO ISAGRO BLU,ISAGRO S.P.A.,COPPER OXYCHLORIDE,37.5 g
10596,CURZATE DF,DU PONT DE NEMOURS ITALIANA S.R.L.,CYMOXANIL,40.0 g
10597,METOSIP L,ADAMA MAKHTESHIM LTD,METHOMYL,18.5 g
10598,RELDOR,COPYR S.P.A.,CHLORPYRIFOS-METHYL,77.0 g/l
10599,CADOU BLE',BASF ITALIA S.P.A.,PENDIMETHALIN|FLUFENACET (FORMERLY FLUTHIAMIDE),28.2 g|5.6 g
10600,ZEPHIRO,NUFARM ITALIA S.R.L.,THIOPHANATE-METHYL,70.0 g
10601,SHINCAR,SINON EU CORPORATION,CARBENDAZIM,50.0 g
10602,SHINTHOATE,SINON EU CORPORATION,DIMETHOATE,433.0 g/l
10603,MERIT GREEN,BAYER CROPSCIENCE S.R.L.,IMIDACLOPRID,17.1 g
10604,EMERALD 40 EW,ISAGRO S.P.A.,TETRACONAZOLE,3.9 g
10605,SILOS 100,SERBROM EREDI MANENTI MICHELE DI ASSENZA PARISI GIOVANNA & SNC,BROMURO DI METILE,99.5 g
10606,MICROPIR,ARYSTA LIFESCIENCE BENELUX SPRL,CHLORPYRIFOS,21.5 g
10607,BELTEC,COMPTOIR COMMERCIAL DES LUBRIFIANTS  S.A.S.,PARAFFIN OIL/(CAS 8042-47-5),80.0 g
10608,BIETOSATE SC,ADAMA DEUTSCHLAND GMBH,ETHOFUMESATE,44.7 g
10609,MESOZIN 35 WG,ADAMA DEUTSCHLAND GMBH,METRIBUZIN,35.0 g
10610,EDITOR CONTACT,DU PONT DE NEMOURS ITALIANA S.R.L.,MANCOZEB|FAMOXADONE,62.5 g|6.3 g
10611,SESTANTE,DU PONT DE NEMOURS ITALIANA S.R.L.,CYMOXANIL|FAMOXADONE,30.0 g|22.5 g
10612,TAURUS,DU PONT DE NEMOURS ITALIANA S.R.L.,METSULFURON-METHYL,20.0 g
10613,PASTA SIAPA BLU,ISAGRO S.P.A.,COPPER OXYCHLORIDE,25.0 g
10614,MUGATON,DECCO ITALIA S.R.L.,METAM SODIUM,42.0 g
10615,TECNIFAT,TECNITERRA S.R.L.,ACEPHATE,43.0 g
10616,SPRAY DUNGER 239,NUFARM ITALIA S.R.L.,1-NAPHTHYLACETIC ACID (1-NAA),0.0 g
10617,POLYKRON PK 15 52,BIOLCHIM S.P.A.,GIBBERELLIC ACID|1-NAPHTHYLACETIC ACID (1-NAA),0.1 g|0.4 g
10618,DISERBA,FIPA DI PAOLO FIOCCO,SODIO CLORATO,39.0 g
10619,BETAVIS70 WDG,FILAGRO S.R.L.,METAMITRON,70.0 g
10620,DISERGREEN,PRO.PHY.M SARL,MECOPROP|DICAMBA,12.9 g|1.1 g
10621,ARBOKILL,ERREGI S.R.L.,PICLORAM,11.0 g
10622,MEDAL 25,ADAMA MAKHTESHIM LTD,PROPICONAZOLE,250.0 g/l
10624,AMIGO,BAYER CROPSCIENCE S.R.L.,IMIDACLOPRID,30.0 g
10625,CYDIAN 25 PB,BAYER CROPSCIENCE S.R.L.,TRIFLUMURON,-
10626,RIDOMIL GOLD COMBI PB,SYNGENTA ITALIA S.P.A.,FOLPET|METALAXYL-M,40.0 g|4.9 g
10627,FRUPICA,SIPCAM ITALIA S.P.A.,MEPANIPYRIM,50.0 g
10628,MIDAURIL MZ,DIACHEM S.P.A.,MANCOZEB|METALAXYL-M,64.0 g|3.9 g
10629,JAPICA,K-I CHEMICAL EUROPE SA,MEPANIPYRIM,50.0 g
10630,OXFORD 2000,DU PONT DE NEMOURS ITALIANA S.R.L.,COPPER HYDROXIDE,35.0 g
10631,CLASS COP,ADAMA MAKHTESHIM LTD,FOLPET|COPPER HYDROXIDE,16.0 g|32.0 g
10632,COBRE NORDOX SUPER 75 WG,NORDOX AS,COPPER OXIDE,75.0 g
10633,CAMBIO,BASF ITALIA S.P.A.,BENTAZONE|DICAMBA,27.4 g|7.7 g
10634,ELITE,NUFARM ITALIA S.R.L.,TOLCLOFOS-METHYL,50.0 g
10635,KELLY R WG,HELM AG,FOSETYL-ALUMINIUM|COPPER OXYCHLORIDE,25.0 g|25.0 g
10636,PARTNER,ERREGI S.R.L.,DICAMBA|PENDIMETHALIN,35.0 g/l|270.0 g/l
10637,TACK - TZ,GREEN TRADE S.R.L.,METOLACHLOR|TERBUTHYLAZINE,30.0 g|15.0 g
10638,MANCOZEB MANICA 75 WG,MANICA S.P.A.,MANCOZEB,75.0 g
10639,ZIRAM MANICA 90 PB,MANICA S.P.A.,ZIRAM,86.0 g
10640,ZIRAM MANICA WG,MANICA S.P.A.,ZIRAM,81.0 g
10641,MANCOZEB MANICA 80 PB,MANICA S.P.A.,MANCOZEB,80.0 g
10642,BIOLIN,BIONATURA S.R.L.,GIBBERELLINS (A4)|6-BENZYLADENINE,1.8 g|1.8 g
10643,SPRAY DUNGER 243,NUFARM ITALIA S.R.L.,1-NAPHTHYLACETIC ACID (1-NAA),0.0 g
10644,MIKONOS E,SIPCAM S.P.A.,PARAFFIN OIL/(CAS 8042-47-5),80.0 g
10645,CIMOSTAR DUO,SIPCAM S.P.A.,CYMOXANIL|COPPER OXYCHLORIDE,4.0 g|20.0 g
10646,SPIKE,SCAM S.P.A.,FENBUTATIN OXIDE,-
10647,DINAPIC,INDUSTRIAS AFRASA S.A,FOSETYL-ALUMINIUM,80.0 g
10648,PROVIDER,PROCHIMAG DI MANDRIOLI GIUSEPPE,CLOFENTEZINE,42.0 g
10649,GIAVONIL DF,ADAMA AGAN LTD,PROPANIL,80.0 g
10650,BELGARD,SHARDA CROPCHEM LIMITED,FLUAZIFOP-P-BUTYL,13.0 g
10651,AGRIZEB DG,AGRIMPORT S.P.A.,MANCOZEB,75.0 g
10652,AZURAM ULTRA IDRO,DU PONT DE NEMOURS ITALIANA S.R.L.,COPPER HYDROXIDE,25.0 g
10653,CUTRIL,SERBIOS S.R.L.,COPPER SULFATE,0.0 g
10654,RADELIX,CASTALDO S.P.A.,TOLCLOFOS-METHYL,50.0 g
10655,OXIFLOWER EC,ADAMA AGAN LTD,OXYFLUORFEN,23.8 g
10656,DACORTAL WG,COMERCIAL QUIMICA MASSO' S.A.,CHLOROTHALONIL,75.0 g
10657,TRIPLUS,FILAGRO S.R.L.,ETHOFUMESATE|PHENMEDIPHAM|DESMEDIPHAM,128.0 g/l|62.0 g/l|16.0 g/l
10658,KEEPER 8 - 64,DIACHEM S.P.A.,MANCOZEB|METALAXYL,64.0 g|8.0 g
10659,CLEANER,SCAM S.P.A.,CHLORPYRIFOS-METHYL,22.1 g
10660,CRITTODINA,ARYSTA LIFESCIENCE BENELUX SPRL,DODINE,38.0 g
10661,KEEPER 25-18 R,DIACHEM S.P.A.,FOSETYL-ALUMINIUM|TRIBASIC COPPER SULFATE,25.0 g|18.0 g
10662,VITENE 45 WG,SIPCAM S.P.A.,CYMOXANIL,45.0 g
10663,MECODIN 35,SIPCAM S.P.A.,DODINE,35.0 g
10664,KRISTAL,SIPCAM S.P.A.,BACILLUS THURINGIENSIS SUBSP. KURSTAKI STRAIN ABTS 351,6.0 g
10665,JUPITER,HELM AG,FOSETYL-ALUMINIUM,80.0 g
10666,DIPET WG,SUMITOMO CHEMICAL ITALIA S.R.L.,FOLPET,72.0 g
10667,PASTA SIAPA NC,ISAGRO S.P.A.,COPPER OXYCHLORIDE,25.0 g
10668,RIDOX DF,ISAGRO S.P.A.,COPPER HYDROXIDE,40.0 g
10669,HORUS TRIPLO,NUFARM ITALIA S.R.L.,ETHOFUMESATE|PHENMEDIPHAM|DESMEDIPHAM,128.0 g/l|62.0 g/l|16.0 g/l
10670,PYRETHRIN,NUFARM ITALIA S.R.L.,PIPERONYL BUTOXIDE|PYRETHRINS,8.0 g|2.0 g
10671,CUAGRO HI BIO,ALBAUGH UK LTD.,COPPER HYDROXIDE,20.0 g
10672,RODEO GOLD,MONSANTO AGRICOLTURA ITALIA S.P.A.,GLYPHOSATE,41.0 g
10673,NOLEP 32,ISAGRO S.P.A.,BACILLUS THURINGIENSIS SOTTOSPECIE KURSTAKI 3A-3B CEPPO HD1,5.0 g
10674,COMBI FLEX,SYNGENTA ITALIA S.P.A.,BENTAZONE|FOMESAFEN,345.0 g/l|96.0 g/l
10675,PULIFRUT L,GOWAN ITALIA S.R.L.,SODIUM DIOCTYL SULFOSUCCINATE,12.0 g
10676,MANTIR FL,S.A.R.I.A.F. S.P.A.,MANCOZEB,330.0 g/l
10677,CYMOTEC M440,TECNITERRA S.R.L.,CYMOXANIL|MANCOZEB,4.0 g|40.0 g
10678,IPROTEC,TECNITERRA S.R.L.,IPRODIONE,50.0 g
10679,FITHIANON,TECNITERRA S.R.L.,DITHIANON,75.0 g
10680,CYMATE WDG,TECNITERRA S.R.L.,CYMOXANIL,30.0 g
10681,CRIMSON,GREEN RAVENNA S.R.L.,HEXYTHIAZOX,10.0 g
10682,SNAP,GREEN RAVENNA S.R.L.,IPRODIONE,50.0 g
10683,GRANSTAR,CONSORZIO AGRARIO PROVINCIALE DI PARMA,TRIBENURON,75.0 g
10684,SPYRALE,CONSORZIO AGRARIO PROVINCIALE DI PARMA,DIFENOCONAZOLE|FENPROPIDIN,10.1 g|37.8 g
10685,FITOCARB 66,AGRIMPORT S.P.A.,PROPAMOCARB,66.5 g
10686,RESET,AGRIMPORT S.P.A.,DICAMBA,16.0 g
10687,RIDOMIL R WG,SYNGENTA ITALIA S.P.A.,COPPER OXYCHLORIDE|METALAXYL,40.0 g|5.0 g
10688,AGROSTAR 370,NUFARM ITALIA S.R.L.,OXADIAZON,370.0 g/l
10689,VAPOR PIR 22,SCAM S.P.A.,CHLORPYRIFOS-METHYL,-
10690,FUNGIBEN COMBI,CHEMINOVA AGRO ITALIA S.R.L.,MYCLOBUTANIL|SULPHUR (ZOLFO),0.8 g|50.0 g
10691,KORTHANE FN,DOW AGROSCIENCES ITALIA S.R.L.,DINOCAP,18.3 g
10692,THIRAS 35 EC,ADAMA MAKHTESHIM LTD,ENDOSULFAN,32.9 g
10693,CHLORTEC WDG,TECNITERRA S.R.L.,CHLOROTHALONIL,75.0 g
10694,CYMOTEC R440,TECNITERRA S.R.L.,CYMOXANIL|COPPER OXYCHLORIDE,4.0 g|40.0 g
10695,HERGONAL,BIOLCHIM S.P.A.,1-NAPHTHYLACETIC ACID (1-NAA),7.5 g
10696,GIBRONAL L 20,NUFARM ITALIA S.R.L.,GIBBERELLIC ACID,2.0 g
10697,ULTRASTIM GLOBAL,BIOLCHIM S.P.A.,GIBBERELLIC ACID|1-NAPHTHYLACETIC ACID (1-NAA),0.2 g|0.3 g
10698,SPRINTONAL,BIOLCHIM S.P.A.,GIBBERELLIC ACID|1-NAPHTHYLACETIC ACID (1-NAA),-
10699,ULTRASTIM 312,NUFARM ITALIA S.R.L.,1-NAPHTHYLACETIC ACID (1-NAA),0.0 g
10700,OIDIMENOL EC,COMERCIAL QUIMICA MASSO' S.A.,TRIADIMENOL,22.9 g
10701,CUMETA FLOW,DIACHEM S.P.A.,TRIBASIC COPPER SULFATE|METALAXYL-M,15.4 g|1.9 g
10702,TRIACETANE 200,CHIMIBERG S.R.L.,FENTIN HYDROXIDE,200.0 g/l
10703,EVOLUTION,ADAMA MAKHTESHIM LTD,ENDOSULFAN,30.0 g
10704,OLOVER PLUS,NATAN S.R.L.,MALATHION|PETROLEUM OILS/(CAS 92062-35-6),3.5 g|81.5 g
10705,OXASAR - EC,GOWAN ITALIA S.R.L.,OXADIAZON,25.5 g
10706,STRATER 12 SC,"GOWAN COMERCIO INTERNACIONAL E SERVICOS, LIMITADA",FENARIMOL,11.4 g
10707,DISETALIN EC,SCAM S.P.A.,PENDIMETHALIN,307.0 g/l
10708,FOLVIT,ADAMA MAKHTESHIM LTD,FOLPET,480.0 g/l
10709,LEGACY TZ,ADAMA AGAN LTD,METOLACHLOR|TERBUTHYLAZINE,320.0 g/l|160.0 g/l
10710,TOMAGAN,NUFARM ITALIA S.R.L.,FLUROXYPYR,20.6 g
10711,ZAM,AGROWIN BIOSCIENCES S.R.L.,PROPYZAMIDE,75.0 g
10712,FENTRO',AGROWIN BIOSCIENCES S.R.L.,FENITROTHION,47.5 g
10713,BUZZY,AGROWIN BIOSCIENCES S.R.L.,METRIBUZIN,35.0 g
10714,FLOPPY,AGROWIN BIOSCIENCES S.R.L.,DICLOFOP-METHYL,27.3 g
10715,SILGLIF NF,NUFARM GMBH & CO KG,GLYPHOSATE,30.4 g
10716,GEOFIT,SIPCAM OXON S.P.A.,BENFURACARB,4.7 g
10717,TERZINA 50 FLO,SIPCAM OXON S.P.A.,TERBUTHYLAZINE,50.0 g
10718,RISAN 80 DF,GOWAN ITALIA S.R.L.,PROPANIL,80.0 g
10719,ALETIL 80,SIPCAM OXON S.P.A.,FOSETYL-ALUMINIUM,80.0 g
10720,ACEFATE S,SIPCAM OXON S.P.A.,ACEPHATE,43.0 g
10721,GLORIAL VERDE,S.A.R.I.A.F. S.P.A.,DELTAMETHRIN,15.0 g/l
10722,GLORIAL,AGRIPHYT S.A.,DELTAMETHRIN,25.0 g/l
10723,RIFOS CS,ARYSTA LIFESCIENCE BENELUX SPRL,CHLORPYRIFOS,21.5 g
10724,TURBOFEN 35 CS,GOWAN ITALIA S.R.L.,FENITROTHION,35.0 g
10725,CUPROSEI,GOWAN ITALIA S.R.L.,MANCOZEB|COPPER OXYCHLORIDE,10.0 g|30.0 g
10726,SARCAP 80 WDG,ORIS S.P.A.,CAPTAN,80.0 g
10727,MEDOR DF,GOWAN ITALIA S.R.L.,METRIBUZIN,35.0 g
10728,FULLDINA 65 WDG,S.A.R.I.A.F. S.P.A.,DODINE,65.0 g
10729,TECNOGIB AGR,TECNITERRA S.R.L.,GIBBERELLIC ACID,9.0 g
10730,IPER,SBM DEVELOPPEMENT S.A.S.,CYPERMETHRIN,5.0 g
10731,TECNIKUR,TECNITERRA S.R.L.,PROPAMOCARB,66.5 g
10732,ERBIFEN TZ,SIPCAM OXON S.P.A.,METOLACHLOR|TERBUTHYLAZINE,320.0 g/l|128.0 g/l
10733,STEEL,AGROWIN BIOSCIENCES S.R.L.,IPRODIONE,50.0 g
